ANDES-A,Order,Family,Genus,Species,,Latitude1,Longitude1,State,,
2921,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,4.5431300000,-74.4355200000,Cundinamarca,,
2954,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,4.8732700000,-74.4434100000,Cundinamarca,,
2955,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,4.8732700000,-74.4434100000,Cundinamarca,,
2956,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,4.8732700000,-74.4434100000,Cundinamarca,,
2957,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,4.8732700000,-74.4434100000,Cundinamarca,,
2958,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,4.8732700000,-74.4434100000,Cundinamarca,,
2959,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,4.8732700000,-74.4434100000,Cundinamarca,,
2960,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,4.8732700000,-74.4434100000,Cundinamarca,,
2961,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,4.8732700000,-74.4434100000,Cundinamarca,,
2962,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,4.8732700000,-74.4434100000,Cundinamarca,,
2963,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,4.8732700000,-74.4434100000,Cundinamarca,,
2964,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,4.8732700000,-74.4434100000,Cundinamarca,,
2965,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,4.8732700000,-74.4434100000,Cundinamarca,,
2922,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,4.8732700000,-74.4434100000,Cundinamarca,,
2966,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,4.8732700000,-74.4434100000,Cundinamarca,,
2967,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,4.8732700000,-74.4434100000,Cundinamarca,,
2925,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,4.8732700000,-74.4434100000,Cundinamarca,,
2969,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,4.8732700000,-74.4434100000,Cundinamarca,,
2970,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,4.8732700000,-74.4434100000,Cundinamarca,,
2971,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,4.8732700000,-74.4434100000,Cundinamarca,,
2972,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,4.8732700000,-74.4434100000,Cundinamarca,,
2985,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,4.8732700000,-74.4434100000,Cundinamarca,,
2973,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,4.8732700000,-74.4434100000,Cundinamarca,,
2974,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,4.8732700000,-74.4434100000,Cundinamarca,,
2926,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,4.8732700000,-74.4434100000,Cundinamarca,,
2927,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,4.8732700000,-74.4434100000,Cundinamarca,,
2928,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,4.8732700000,-74.4434100000,Cundinamarca,,
2975,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,4.8732700000,-74.4434100000,Cundinamarca,,
2929,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,4.8732700000,-74.4434100000,Cundinamarca,,
2930,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,4.8732700000,-74.4434100000,Cundinamarca,,
2976,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,4.8732700000,-74.4434100000,Cundinamarca,,
2931,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,4.8732700000,-74.4434100000,Cundinamarca,,
2774,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,5.0739800000,-74.5710400000,Cundinamarca,,
2775,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,5.0739800000,-74.5710400000,Cundinamarca,,
