,ANDES-A,Order,Family,Genus,Species,Genus_species,Latitude1,Longitude1,State,State_from_coord,Is_correct,Wikipedia,Photo,Common_name,Phylum
76,2751,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,6.92639,-75.16082,Antioquia,Antioquia,True,http://en.wikipedia.org/wiki/Rheobates_palmatus,https://inaturalist-open-data.s3.amazonaws.com/photos/227765240/medium.jpg,,Chordata
77,2752,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,6.92639,-75.16082,Antioquia,Antioquia,True,http://en.wikipedia.org/wiki/Rheobates_palmatus,https://inaturalist-open-data.s3.amazonaws.com/photos/227765240/medium.jpg,,Chordata
78,2753,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,6.92639,-75.16082,Antioquia,Antioquia,True,http://en.wikipedia.org/wiki/Rheobates_palmatus,https://inaturalist-open-data.s3.amazonaws.com/photos/227765240/medium.jpg,,Chordata
79,2754,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,6.92639,-75.16082,Antioquia,Antioquia,True,http://en.wikipedia.org/wiki/Rheobates_palmatus,https://inaturalist-open-data.s3.amazonaws.com/photos/227765240/medium.jpg,,Chordata
80,2755,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,6.92639,-75.16082,Antioquia,Antioquia,True,http://en.wikipedia.org/wiki/Rheobates_palmatus,https://inaturalist-open-data.s3.amazonaws.com/photos/227765240/medium.jpg,,Chordata
81,2756,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,6.92639,-75.16082,Antioquia,Antioquia,True,http://en.wikipedia.org/wiki/Rheobates_palmatus,https://inaturalist-open-data.s3.amazonaws.com/photos/227765240/medium.jpg,,Chordata
82,2859,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,6.92639,-75.16082,Antioquia,Antioquia,True,http://en.wikipedia.org/wiki/Rheobates_palmatus,https://inaturalist-open-data.s3.amazonaws.com/photos/227765240/medium.jpg,,Chordata
83,2860,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,6.92639,-75.16082,Antioquia,Antioquia,True,http://en.wikipedia.org/wiki/Rheobates_palmatus,https://inaturalist-open-data.s3.amazonaws.com/photos/227765240/medium.jpg,,Chordata
84,2861,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,6.92639,-75.16082,Antioquia,Antioquia,True,http://en.wikipedia.org/wiki/Rheobates_palmatus,https://inaturalist-open-data.s3.amazonaws.com/photos/227765240/medium.jpg,,Chordata
85,2862,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,6.92639,-75.16082,Antioquia,Antioquia,True,http://en.wikipedia.org/wiki/Rheobates_palmatus,https://inaturalist-open-data.s3.amazonaws.com/photos/227765240/medium.jpg,,Chordata
