ANDES-A,Order,Family,Genus,Species,Genus_species,Latitude1,Longitude1,State,State_from_coord,Is_correct
2991,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,4.54313,-74.43552,Cundinamarca,Cundinamarca,True
2992,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,4.54313,-74.43552,Cundinamarca,Cundinamarca,True
2993,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,4.54313,-74.43552,Cundinamarca,Cundinamarca,True
2994,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,4.54313,-74.43552,Cundinamarca,Cundinamarca,True
2995,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,4.54313,-74.43552,Cundinamarca,Cundinamarca,True
2996,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,4.54313,-74.43552,Cundinamarca,Cundinamarca,True
2997,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,4.54313,-74.43552,Cundinamarca,Cundinamarca,True
2998,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,4.54313,-74.43552,Cundinamarca,Cundinamarca,True
2999,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,4.54313,-74.43552,Cundinamarca,Cundinamarca,True
3000,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,4.54313,-74.43552,Cundinamarca,Cundinamarca,True
3001,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,4.54313,-74.43552,Cundinamarca,Cundinamarca,True
2910,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,4.54313,-74.43552,Cundinamarca,Cundinamarca,True
2911,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,4.54313,-74.43552,Cundinamarca,Cundinamarca,True
2912,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,4.54313,-74.43552,Cundinamarca,Cundinamarca,True
2913,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,4.54313,-74.43552,Cundinamarca,Cundinamarca,True
2914,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,4.54313,-74.43552,Cundinamarca,Cundinamarca,True
2915,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,4.54313,-74.43552,Cundinamarca,Cundinamarca,True
2916,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,4.54313,-74.43552,Cundinamarca,Cundinamarca,True
2917,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,4.54313,-74.43552,Cundinamarca,Cundinamarca,True
2918,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,4.54313,-74.43552,Cundinamarca,Cundinamarca,True
2919,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,4.54313,-74.43552,Cundinamarca,Cundinamarca,True
2920,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,4.54313,-74.43552,Cundinamarca,Cundinamarca,True
2921,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,4.54313,-74.43552,Cundinamarca,Cundinamarca,True
2954,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,4.87327,-74.44341,Cundinamarca,Cundinamarca,True
